rs=931.101 [17.67%]  Tot:0.26s TF:0.07s  xH=2.060e-02 xHe=5.150e-08  hep=0.7999 lep=0.1232 lee=0.0601 hed=0.0084 rsl=0.0098 out=1.0014  
rs=919.994 [17.85%]  Tot:0.26s TF:0.07s  xH=1.765e-02 xHe=5.928e-08  hep=0.8006 lep=0.1232 lee=0.0596 hed=0.0082 rsl=0.0098 out=1.0014  
rs=909.020 [18.04%]  Tot:0.26s TF:0.07s  xH=1.514e-02 xHe=6.940e-08  hep=0.8011 lep=0.1232 lee=0.0591 hed=0.0081 rsl=0.0098 out=1.0014  
rs=898.177 [18.22%]  Tot:0.25s TF:0.07s  xH=1.300e-02 xHe=8.220e-08  hep=0.8017 lep=0.1232 lee=0.0587 hed=0.0079 rsl=0.0098 out=1.0014  
rs=887.464 [18.40%]  Tot:0.26s TF:0.07s  xH=1.119e-02 xHe=9.616e-08  hep=0.8021 lep=0.1233 lee=0.0583 hed=0.0079 rsl=0.0098 out=1.0014  
rs=876.878 [18.58%]  Tot:0.29s TF:0.07s  xH=9.658e-03 xHe=1.113e-07  hep=0.8025 lep=0.1235 lee=0.0578 hed=0.0078 rsl=0.0098 out=1.0014  
rs=866.418 [18.76%]  Tot:0.28s TF:0.07s  xH=8.369e-03 xHe=1.277e-07  hep=0.8029 lep=0.1236 lee=0.0574 hed=0.0077 rsl=0.0098 out=1.0014  
rs=856.083 [18.94%]  Tot:0.28s TF:0.07s  xH=7.283e-03 xHe=1.454e-07  hep=0.8032 lep=0.1238 lee=0.0569 hed=0.0076 rsl=0.0098 out=1.0014  
rs=845.872 [19.12%]  Tot:0.26s TF:0.07s  xH=6.366e-03 xHe=1.646e-07  hep=0.8035 lep=0.1240 lee=0.0565 hed=0.0075 rsl=0.0098 out=1.0013  
rs=835.782 [19.30%]  Tot:0.25s TF:0.07s  xH=5.594e-03 xHe=1.852e-07  hep=0.8037 lep=0.1242 lee=0.0561 hed=0.0075 rsl=0.0099 out=1.0013  
rs=825.812 [19.49%]  Tot:0.25s TF:0.07s  xH=4.945e-03 xHe=2.072e-07  hep=0.8040 lep=0.1244 lee=0.0557 hed=0.0074 rsl=0.0099 out=1.0013  
rs=815.962 [19.67%]  Tot:0.26s TF:0.07s  xH=4.398e-03 xHe=2.305e-07  hep=0.8042 lep=0.1246 lee=0.0552 hed=0.0074 rsl=0.0099 out=1.0013  
rs=806.229 [19.85%]  Tot:0.26s TF:0.07s  xH=3.936e-03 xHe=2.548e-07  hep=0.8044 lep=0.1249 lee=0.0548 hed=0.0073 rsl=0.0099 out=1.0012  
rs=796.612 [20.03%]  Tot:0.27s TF:0.07s  xH=3.545e-03 xHe=2.800e-07  hep=0.8046 lep=0.1251 lee=0.0544 hed=0.0072 rsl=0.0099 out=1.0012  
rs=787.110 [20.21%]  Tot:0.26s TF:0.07s  xH=3.213e-03 xHe=3.063e-07  hep=0.8047 lep=0.1254 lee=0.0540 hed=0.0072 rsl=0.0099 out=1.0012  
rs=777.721 [20.39%]  Tot:0.25s TF:0.07s  xH=2.929e-03 xHe=3.336e-07  hep=0.8048 lep=0.1257 lee=0.0536 hed=0.0072 rsl=0.0099 out=1.0012  
rs=768.444 [20.57%]  Tot:0.25s TF:0.08s  xH=2.686e-03 xHe=3.621e-07  hep=0.8049 lep=0.1260 lee=0.0533 hed=0.0072 rsl=0.0099 out=1.0012  
rs=759.278 [20.76%]  Tot:0.25s TF:0.07s  xH=2.477e-03 xHe=3.926e-07  hep=0.8049 lep=0.1264 lee=0.0529 hed=0.0072 rsl=0.0099 out=1.0012  
rs=750.221 [20.94%]  Tot:0.24s TF:0.07s  xH=2.295e-03 xHe=4.250e-07  hep=0.8050 lep=0.1267 lee=0.0525 hed=0.0071 rsl=0.0099 out=1.0012  
rs=741.272 [21.12%]  Tot:0.25s TF:0.07s  xH=2.137e-03 xHe=4.594e-07  hep=0.8050 lep=0.1271 lee=0.0521 hed=0.0071 rsl=0.0099 out=1.0012  
rs=732.430 [21.30%]  Tot:0.24s TF:0.07s  xH=1.999e-03 xHe=4.956e-07  hep=0.8050 lep=0.1275 lee=0.0517 hed=0.0071 rsl=0.0099 out=1.0012  
rs=723.693 [21.48%]  Tot:0.26s TF:0.08s  xH=1.878e-03 xHe=5.338e-07  hep=0.8050 lep=0.1279 lee=0.0513 hed=0.0070 rsl=0.0099 out=1.0011  
rs=715.061 [21.66%]  Tot:0.24s TF:0.07s  xH=1.770e-03 xHe=5.722e-07  hep=0.8050 lep=0.1283 lee=0.0510 hed=0.0070 rsl=0.0099 out=1.0011  
rs=706.531 [21.84%]  Tot:0.23s TF:0.07s  xH=1.675e-03 xHe=6.109e-07  hep=0.8049 lep=0.1287 lee=0.0506 hed=0.0069 rsl=0.0099 out=1.0011  
rs=698.104 [22.02%]  Tot:0.23s TF:0.07s  xH=1.590e-03 xHe=6.501e-07  hep=0.8049 lep=0.1291 lee=0.0502 hed=0.0069 rsl=0.0099 out=1.0011  
rs=689.776 [22.21%]  Tot:0.23s TF:0.07s  xH=1.513e-03 xHe=6.897e-07  hep=0.8048 lep=0.1295 lee=0.0499 hed=0.0069 rsl=0.0099 out=1.0011  
rs=681.549 [22.39%]  Tot:0.23s TF:0.07s  xH=1.444e-03 xHe=7.298e-07  hep=0.8047 lep=0.1300 lee=0.0495 hed=0.0069 rsl=0.0099 out=1.0011  
rs=673.419 [22.57%]  Tot:0.24s TF:0.07s  xH=1.382e-03 xHe=7.708e-07  hep=0.8046 lep=0.1305 lee=0.0492 hed=0.0069 rsl=0.0099 out=1.0011  
rs=665.386 [22.75%]  Tot:0.29s TF:0.07s  xH=1.325e-03 xHe=8.126e-07  hep=0.8044 lep=0.1310 lee=0.0489 hed=0.0068 rsl=0.0099 out=1.0011  
rs=657.449 [22.93%]  Tot:0.29s TF:0.08s  xH=1.273e-03 xHe=8.553e-07  hep=0.8043 lep=0.1315 lee=0.0485 hed=0.0068 rsl=0.0099 out=1.0011  
rs=649.607 [23.11%]  Tot:0.29s TF:0.07s  xH=1.226e-03 xHe=8.990e-07  hep=0.8041 lep=0.1321 lee=0.0482 hed=0.0068 rsl=0.0099 out=1.0010  
rs=641.858 [23.29%]  Tot:0.24s TF:0.07s  xH=1.183e-03 xHe=9.436e-07  hep=0.8039 lep=0.1326 lee=0.0478 hed=0.0068 rsl=0.0099 out=1.0010  
rs=634.202 [23.47%]  Tot:0.24s TF:0.07s  xH=1.143e-03 xHe=9.892e-07  hep=0.8037 lep=0.1332 lee=0.0475 hed=0.0067 rsl=0.0099 out=1.0010  
rs=626.637 [23.66%]  Tot:0.27s TF:0.07s  xH=1.106e-03 xHe=1.036e-06  hep=0.8035 lep=0.1337 lee=0.0472 hed=0.0067 rsl=0.0099 out=1.0010  
